timeframe,segment,n_1,win_rate_1,avg_short_ret_1,med_short_ret_1,drop5_close_rate_1,drop10_intram_rate_1,stop10_hit_rate_1,n_3,win_rate_3,avg_short_ret_3,med_short_ret_3
monthly,baseline_all,193957,0.48058590306098775,-0.00793409310984313,-0.002377179080824089,0.24512649711018422,0.24814778533386267,0.26513093108266267,192571,0.47157671715886607,-0.026053198273713725,-0.008547008547008548
monthly,bull_streak_ge_3,25950,0.45552986512524085,-0.015028066314526937,-0.00744886083945334,0.2223892100192678,0.22832369942196531,0.282504816955684,25636,0.4541660165392417,-0.036116299120383936,-0.015219035461843989
monthly,bull_streak_ge_4,13749,0.4635973525347298,-0.013311904104858507,-0.006329113924050633,0.23114408320605134,0.24350861880864064,0.28271146992508545,13578,0.45426425099425544,-0.035833821930463604,-0.015059572116406413
monthly,bull_streak_ge_5,7191,0.458906967042136,-0.014549823932044712,-0.007692307692307693,0.2323738005840634,0.2537894590460298,0.2913363927131136,7061,0.44752867865741397,-0.038894837230122166,-0.017927170868347338
monthly,bull_streak_ge_6,3792,0.45595991561181437,-0.015682783345720645,-0.008342032011134308,0.23154008438818566,0.26476793248945146,0.30537974683544306,3672,0.4515250544662309,-0.036491887773244074,-0.01688523988097404
monthly,bull_streak_ge_7,1987,0.4695520885757423,-0.014177080452700342,-0.006622516556291391,0.2420734776044288,0.2898842476094615,0.3069954705586311,1892,0.452431289640592,-0.03618762574079857,-0.015329383465901772
monthly,bull_streak_ge_8,998,0.4649298597194389,-0.014863338640018741,-0.007590827507273815,0.23547094188376755,0.2985971943887776,0.3166332665330661,928,0.4525862068965517,-0.03913669090782525,-0.01661580778703252
monthly,bull_streak_ge_9,498,0.463855421686747,-0.017925100869002123,-0.008107235969709263,0.24096385542168675,0.3112449799196787,0.3353413654618474,462,0.46320346320346323,-0.03851384926643517,-0.012809558561102026
monthly,bull_streak_ge_10,239,0.5146443514644351,-0.007715936737183397,0.003861003861003861,0.3054393305439331,0.35564853556485354,0.30962343096234307,230,0.46956521739130436,-0.041668891139521755,-0.014301317745380316
monthly,hanging_man_all,2127,0.46685472496473907,-0.009606174683346297,-0.005217444378397069,0.2153267512929008,0.21297602256699577,0.2449459332393042,2118,0.48394711992445705,-0.024391020592046044,-0.004502811949796804
monthly,hanging_pre_bull_ge_3,1099,0.4786169244767971,-0.007493394387826543,-0.0033738191632928477,0.2256596906278435,0.22474977252047315,0.23202911737943585,1093,0.494967978042086,-0.02381788209069703,-0.0004870920603994155
monthly,hanging_pre_bull_ge_5,344,0.45930232558139533,-0.011004544207270397,-0.007079906929304519,0.2180232558139535,0.22674418604651161,0.24709302325581395,340,0.49117647058823527,-0.014838636596215643,-0.0025902324216755673
monthly,hanging_pre_bull_ge_7,99,0.5555555555555556,0.003909046235259232,0.022024552366856503,0.23232323232323232,0.25252525252525254,0.21212121212121213,96,0.4791666666666667,-0.005325724795936067,-0.007428177882723337
