rule,n,hit10,lift,avg_ret20,win20
cnt60>=60 & pdown>=0.62 & pturndown>=0.62,17028,0.6196264975334743,2.6141456013293696,0.024263963197387457,0.6405332393704487
cnt60>=60 & pdown>=0.62 & pturndown>=0.60,17510,0.615648201027984,2.597361544559671,0.024238063926168466,0.6396344945745288
cnt60>=60 & pdown>=0.62 & pturndown>=0.58,17761,0.6137604864590958,2.5893974552954635,0.024376172362444708,0.6394347165137099
cnt60>=60 & pdown>=0.62 & pturndown>=0.55,17906,0.6124204177370713,2.5837438320738872,0.024487596544567534,0.6395621579358874
cnt60>=60 & pdown>=0.62 & pturndown>=0.50,17960,0.6119153674832962,2.5816130728106668,0.02452246733835764,0.6397550111358574
cnt60>=50 & pdown>=0.62 & pturndown>=0.62,22834,0.6062450731365507,2.557690637143708,0.022273986812745804,0.6340544801611632
cnt60>=50 & pdown>=0.62 & pturndown>=0.60,23532,0.6019037905830359,2.5393751765612858,0.02245999388233763,0.6337752847186809
cnt60>=50 & pdown>=0.62 & pturndown>=0.58,23876,0.6002261685374435,2.5322974477865543,0.02267177258044392,0.633900150779025
cnt60>=50 & pdown>=0.62 & pturndown>=0.55,24092,0.5984974265316287,2.525004048733539,0.02275267814614906,0.6338203553046654
cnt60>=50 & pdown>=0.62 & pturndown>=0.50,24157,0.5980461149977232,2.523100008047925,0.022782065392875053,0.6339777290226435
cnt60>=40 & pdown>=0.62 & pturndown>=0.62,31525,0.5897541633624108,2.4881170481839194,0.019857508071103848,0.6257256145915939
cnt60>=40 & pdown>=0.62 & pturndown>=0.60,32599,0.5839442927697168,2.4636057535336073,0.019951831791408584,0.6249578207920489
cnt60>=40 & pdown>=0.62 & pturndown>=0.58,33163,0.5814914211621385,2.4532573201643095,0.020110312284506004,0.6250640774356964
cnt60>=40 & pdown>=0.62 & pturndown>=0.55,33498,0.579377873305869,2.444340461615394,0.020198826870995848,0.6248432742253269
cnt60>=40 & pdown>=0.62 & pturndown>=0.50,33606,0.5789442361483068,2.4425109874522866,0.020246081916679586,0.6250074391477712
cnt60>=60 & pdown>=0.60 & pturndown>=0.62,26142,0.5771172825338535,2.4348032429092963,0.012492663481306345,0.6055772320403948
cnt60>=60 & pdown>=0.60 & pturndown>=0.60,27525,0.5694096276112625,2.4022853756252753,0.01214917265437168,0.6033060853769301
